New PAW TMT results file!
Program "PAW_protein_grouper.py" run on Fri May  8 06:42:05 2020
 
 
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_GMHJYZ_human_ecoli	Unique_GMHJYZ_human_ecoli	Corrected_GMHJYZ_human_ecoli	PSMs_Used_GMHJYZ_human_ecoli	TotInt_126C_GMHJYZ_human_ecoli	TotInt_127N_GMHJYZ_human_ecoli	TotInt_127C_GMHJYZ_human_ecoli	TotInt_128N_GMHJYZ_human_ecoli	TotInt_128C_GMHJYZ_human_ecoli	TotInt_129N_GMHJYZ_human_ecoli	TotInt_129C_GMHJYZ_human_ecoli	TotInt_130N_GMHJYZ_human_ecoli	TotInt_130C_GMHJYZ_human_ecoli	TotInt_131N_GMHJYZ_human_ecoli	TotInt_131C_GMHJYZ_human_ecoli
92	1	REV_P35125	 	 	 	reversed	1.8	1406	158656	REVERSED.	2	2	1.000	2	2	2.000	2	583771.382812	493083.925781	579171.2695309999	563290.7226559999	511467.757812	608534.179688	522901.972656	419602.8125	409118.289062	401522.914062	16319.737305
93	1	REV_P35221	 	 	 	reversed	3.1	906	100070	REVERSED.	2	2	1.000	2	2	2.000	2	4564050.111328	2535879.382812	3503007.236328	5620715.285156	5861537.787109	5341780.939453	5164693.189453	10306723.316406	13201637.789062	11643819.769531	500.0
94	1	REV_P35612	 	 	 	reversed	3.3	726	80853	REVERSED.	3	3	1.000	3	3	3.000	3	57857.188843	56954.598389	65695.099609	78171.218872	81546.48535199999	82558.956055	74869.176758	85866.711426	81063.987549	84802.77539	2721.833985
95	1	REV_P39285	 	 	 	reversed	6.0	1107	123966	REVERSED.	3	3	1.000	3	3	3.000	3	194060.45825199998	197633.808105	249524.655273	291649.66235400003	289727.17724600004	285715.48632799997	225981.535646	336252.616699	439558.421875	357479.250488	500.0
96	1	REV_P40222	 	 	 	reversed	3.3	546	61890	REVERSED.	2	2	1.000	2	2	2.000	2	263069.625	181024.046876	207332.296875	202279.140626	171664.210938	222264.257813	169251.757813	123026.714843	135209.378906	136608.445313	4643.633301
97	1	REV_P40925	 	 	 	reversed	5.1	334	36426	REVERSED.	2	2	1.000	2	2	2.000	2	213349.179688	184207.890624	213806.531251	194061.4375	201668.710938	223508.421876	197658.335938	175021.882813	175886.328125	182903.1875	500.0
98	1	REV_P43487	 	 	REV_P43487, sp|Q13442|HAP28_HUMAN	reversed	4.0	201	23310	REVERSED.	4	1	0.250	4	1	1.158	1	5950.796386999999	5220.092285	5114.400879	6192.537109000001	6630.144043	4629.504883	4800.290527	3012.859375	4258.410156	3799.3027340000003	500.0
99	1	REV_P46939	 	 	 	reversed	1.0	3433	394462	REVERSED.	5	5	1.000	5	5	5.000	5	514621.18164100003	485306.992188	520665.730468	794896.640625	685134.4257809999	793116.0039059999	640876.113283	1100209.5546880001	1148707.7578130001	1092344.9707040002	21562.087890000003
100	1	REV_P49454	 	 	 	reversed	2.0	3114	357523	REVERSED.	6	6	1.000	6	6	6.000	6	344041.538575	293286.477783	381452.738281	332271.564942	323914.541015	347614.086913	338858.375977	290445.269042	285312.658692	287020.81542899995	5311.231811
101	1	REV_P50993	 	 	REV_P50993, sp|Q96IZ0|PAWR_HUMAN, sp|Q9ULJ8|NEB1_HUMAN	reversed	2.7	1020	112264	REVERSED.	4	1	0.250	4	1	1.231	1	9757.536133	10952.28418	13173.020508	21083.707031	18462.435547	16846.992188	14970.466797	24233.714844	28802.267577999995	32149.359375	1676.6604
102	1	REV_P51587	 	 	REV_P51587, sp|Q96T51|RUFY1_HUMAN	reversed	0.4	3418	384198	REVERSED.	3	1	0.333	3	1	1.053	1	654648.0	697926.0	771987.25	799260.0625	810387.5	913900.75	729662.9375	602102.9375	757016.875	612034.3125	41794.757812
103	1	REV_P54868	 	 	 	reversed	8.5	508	56635	REVERSED.	3	3	1.000	3	3	3.000	3	47626.583985	44140.564453	43495.302734	47446.21875	46849.470703	48880.394532	41128.246094	37510.380859	40736.822266	37604.943359	500.0
104	1	REV_P55089	 	 	 	reversed	16.9	124	13458	REVERSED.	2	2	1.000	2	2	2.000	2	11101.727539	15552.766602	9063.893799	11101.444091	11626.281494	12443.367676	12123.312011999999	8693.246093999998	9574.240234	9366.483154	500.0
105	1	REV_P55196	 	 	 	reversed	1.4	1824	206802	REVERSED.	2	2	1.000	2	2	2.000	2	43956.126953	62217.544922	46338.089844	66884.078125	62208.792969	82163.072266	52431.189454	53245.251953	43015.242186999996	49913.214844	1581.741577
106	1	REV_P59510	 	 	 	reversed	2.0	1910	214719	REVERSED.	2	2	1.000	2	2	2.000	2	385321.96875	329411.015625	359396.265625	362984.578125	343776.65625	413036.71875	298907.15625	272669.28125	273657.59375	291194.65625	12368.584473
107	1	REV_P60240	 	 	REV_P60240, sp|P0AFF0|NUON_ECOLI	reversed	2.2	968	109768	REVERSED.	3	1	0.333	3	1	2.000	1	10792.085938	6875.054198999999	9550.814453	14694.947266	11164.87793	14125.755859	11841.612305	11858.339844	7965.000488	9235.554688	500.0
108	1	REV_P69849 (+2)	REV_P69849&REV_Q15155&REV_Q5JPE7	 	 	reversed	1.4	1222	134132	REVERSED.	2	2	1.000	2	2	2.000	2	122980.765625	113638.374023	118164.309571	132090.67187500003	131468.19629000002	153055.316406	153380.808594	99208.213867	139190.54199300002	108207.778321	500.0
109	1	REV_P76092	 	 	 	reversed	3.1	585	65455	REVERSED.	3	3	1.000	3	3	3.000	3	5724479.371094	5243212.285156	5157833.761719	6364694.617188	5794480.085938	6127370.578125	5296934.128906	4208039.765625	4779610.222656	4426463.039062	500.0
110	1	REV_P76398	 	 	 	reversed	1.6	1040	112076	REVERSED.	3	3	1.000	3	3	3.000	3	91125.71240299998	85042.719727	83429.814697	106506.269044	102181.16626	110303.110351	91439.256836	89014.626954	96130.598145	94583.29199199998	1554.1967769999999
111	1	REV_P77427	 	 	 	reversed	8.9	235	27022	REVERSED.	2	2	1.000	2	2	2.000	2	396671.085938	345967.882813	465626.875	574074.953125	530990.859375	645202.34375	536072.375	699355.28125	733155.8125	752866.84375	57016.40625
112	1	REV_P78332	 	 	 	reversed	2.0	1123	128642	REVERSED.	4	4	1.000	4	4	4.000	4	269407.441406	262075.394531	251161.609376	296023.617187	306057.117188	294971.890626	270438.328126	254170.402345	249550.691406	235859.871095	12327.799316
113	1	REV_P98088	 	 	 	reversed	1.0	5654	585564	REVERSED.	2	2	1.000	2	2	2.000	2	285916.785156	210068.949219	249066.929687	394136.761719	303402.539062	385910.679688	321347.28125	411585.113281	548794.5039059999	427517.25	23847.019531
114	1	REV_Q01780	 	 	 	reversed	3.2	885	100830	REVERSED.	2	2	1.000	2	2	2.000	2	60619.201172	56994.529297	61630.107422	67944.779297	75506.958984	70720.419922	64031.337889999995	56152.087891	58928.095703	48788.914061999996	1770.284424
115	1	REV_Q02156	 	 	REV_Q02156, sp|Q96F86|EDC3_HUMAN	reversed	2.2	737	83673	REVERSED.	3	1	0.333	3	1	1.133	1	21347.146484	17795.208984	25285.722656	28523.794922000005	33855.164062	29860.726562	32096.5625	34757.171875	41511.113281	39703.105469	2240.388184
116	1	REV_Q03001	 	 	 	reversed	0.8	7570	860652	REVERSED.	4	4	1.000	4	4	4.000	4	631800.677735	591617.875001	587507.011719	835181.578125	661457.8789059999	861692.5585940001	726099.8476559999	817129.726563	1060900.000001	1020635.6875	47651.422851999996
117	1	REV_Q13045	 	 	 	reversed	1.6	1269	144749	REVERSED.	2	2	1.000	2	2	2.000	2	800855.7539059999	815888.789062	898226.351562	900414.695313	933444.90625	1001248.460938	931961.65625	713337.375	873210.703125	661614.328125	25708.491211
118	1	REV_Q13085	 	 	REV_Q13085, sp|O75665|OFD1_HUMAN, sp|Q9NRA8|4ET_HUMAN	reversed	0.6	2346	265551	REVERSED.	2	0	0.000	2	0	0.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
119	1	REV_Q13951	 	 	REV_Q13951, sp|P36879|YADG_ECOLI	reversed	11.0	182	21508	REVERSED.	3	1	0.333	3	1	1.077	1	38178.8125	29450.316406	35890.863281	34466.402344	29484.921875	37707.785156	26629.982422	25013.03125	22620.490234	24136.140625	500.0
120	1	REV_Q14315	 	 	REV_O75369, REV_Q14315	reversed	1.2	2725	291019	REVERSED.	2	1	0.500	2	1	1.500	1	44651.0	40487.261719	48503.210938	57590.078125	55610.33203099999	50464.628906	43618.996094	40453.632812	41333.378906	47450.296875	500.0
121	1	REV_Q14674	 	 	 	reversed	0.7	2120	233173	REVERSED.	2	2	1.000	2	2	2.000	2	75566.953124	64514.873047	67156.185547	75274.052735	72339.044922	77480.824219	65334.837889999995	50773.992188000004	60081.841797	54913.849609	830.329163
122	1	REV_Q14683	 	 	 	reversed	2.4	1233	143231	REVERSED.	2	2	1.000	2	2	2.000	2	28703.355957	26371.647705	23047.57959	31818.324707	31538.751464999998	30786.453125	27692.310059	29623.072754	31333.465820999998	28569.60254	500.0
123	1	REV_Q14789	 	 	REV_Q14789, sp|A6NE01|F186A_HUMAN, sp|Q8N556|AFAP1_HUMAN, sp|Q9P0K7|RAI14_HUMAN	reversed	0.8	3259	376015	REVERSED.	3	1	0.333	3	1	1.400	1	5161.11084	3161.623779	5411.744140999999	6776.151367	5414.845703	6134.48877	4542.528809	3510.143311	4729.048828	4355.868164	500.0
124	1	REV_Q149N8	 	 	 	reversed	1.0	1683	193077	REVERSED.	2	2	1.000	2	2	2.000	2	2643867.53125	2427190.039063	2284748.828125	3153027.90625	2917486.296875	3213582.945313	2736212.1875	2970208.835938	2822615.625	2790030.101563	126647.447266
125	1	REV_Q15022	 	 	 	reversed	3.0	739	83054	REVERSED.	2	2	1.000	2	2	2.000	2	1195418.748047	1201575.390625	1174643.544922	1396736.953125	1285144.628906	1367434.664062	1170773.378906	1042566.095703	1116830.683594	1023142.943359	76609.484375
126	1	REV_Q15149	 	 	 	reversed	0.8	4684	531784	REVERSED.	3	3	1.000	3	3	3.000	3	385702.421875	432373.09179700003	361143.73632799997	485597.01367200003	460011.085938	508147.03125	406616.90625	536193.037109	563566.9882809999	515331.431641	20017.888061999998
127	1	REV_Q15911	 	 	 	reversed	0.5	3703	404414	REVERSED.	3	3	1.000	3	3	3.000	3	244887.85351600003	232520.265625	223203.826172	242772.181641	247060.455078	268109.369141	200514.085938	179312.271484	217312.220704	204210.039063	3440.137207
128	1	REV_Q3L8U1	 	 	REV_Q3L8U1, REV_Q9P2D1, sp|Q8TB36|GDAP1_HUMAN	reversed	0.8	2897	326018	REVERSED.	3	1	0.333	3	1	1.321	1	10505.544922	10868.392578	8418.256836	18423.320312	14823.368163999998	19261.037109	12881.59668	24788.429688	27165.8125	28683.667969	1257.862915
129	1	REV_Q46899	 	 	 	reversed	4.4	363	40025	REVERSED.	18	18	1.000	18	18	18.000	18	8704147.703125	8041307.800781	9153844.011718001	11615723.367189	10331530.511717	11746365.087891	9736937.144532	11363262.708986	12506547.060547	12266303.41211	301256.548584
130	1	REV_Q4G0P3	 	 	 	reversed	0.4	5121	575885	REVERSED.	2	2	1.000	2	2	2.000	2	47194912.753906	47252773.226562	43995932.902344	45723537.898438	56091763.09375	63161617.091797	45544866.882812	40055889.566406	38285042.757812	40964624.955078	2850737.25
131	1	REV_Q4U2R8	 	 	 	reversed	5.0	563	61816	REVERSED.	2	2	1.000	2	2	2.000	2	143306.90429700003	116570.632813	139497.035157	177480.455078	142975.63671900003	148261.486328	146243.05664100003	145964.455078	157808.0625	150082.41992200003	7810.373413000001
132	1	REV_Q53SF7	 	 	 	reversed	1.5	1128	123866	REVERSED.	2	2	1.000	2	2	2.000	2	149145.83984400003	147938.761719	202459.947266	168925.025391	179286.070312	181282.470703	188224.367188	135778.373047	127679.33593800002	110716.736328	7542.640137
133	1	REV_Q5D862	 	 	 	reversed	0.7	2391	248070	REVERSED.	3	3	1.000	3	3	3.000	3	291251.195313	276639.09375	234770.453125	286389.585937	269430.320312	283025.289062	320884.898438	235783.816406	277227.207032	240754.152345	2697.4995120000003
134	1	REV_Q5M9N0	 	 	REV_Q5M9N0, sp|Q8WVM7|STAG1_HUMAN	reversed	2.7	1113	127139	REVERSED.	5	1	0.200	5	1	1.154	1	136841.40625	68662.4375	66990.304688	61442.63671900001	85247.585938	56538.13671900001	61878.648438	65035.29296900001	67975.078125	53347.5	2390.556641
135	1	REV_Q5T4T6	 	 	 	reversed	3.3	812	93598	REVERSED.	2	2	1.000	2	2	2.000	2	732450.484375	582707.523438	675889.359375	1593809.7109380001	1398721.0234380001	1562738.1015619999	1025235.945312	2520025.671875	3015928.878906	2722634.0	106798.40625
136	1	REV_Q5T5P2	 	 	REV_Q5T5P2, sp|P0A9M0|LON_ECOLI	reversed	1.1	1943	214113	REVERSED.	3	1	0.333	3	1	1.014	1	853456.0	775839.875	910813.375	868828.5625	784323.9375	956116.9375	814079.875	614559.875	608468.625	560755.5	500.0
137	1	REV_Q5T7N2	 	 	 	reversed	3.0	865	98848	REVERSED.	2	2	1.000	2	2	2.000	2	329508.943359	245032.498047	324493.553711	337851.907227	369869.926758	408371.083984	329361.541016	274082.833008	294958.272461	291215.637695	24714.929688
138	1	REV_Q5T9S5	 	 	 	reversed	2.0	1454	168961	REVERSED.	3	3	1.000	3	3	3.000	3	112477.460938	77742.568359	115288.271484	134079.197265	149012.271485	145923.898437	142404.894531	165427.074219	247135.594726	184103.513672	500.0
139	1	REV_Q5VW36	 	 	 	reversed	2.9	1801	200070	REVERSED.	8	8	1.000	8	8	8.000	8	2207688.823731	1232594.740479	1592731.628418	1996122.301269	2064195.142091	1976476.7729490001	1786391.8171390002	2042325.201904	1830396.731201	1769446.522706	17714.360107
140	1	REV_Q68CP9	 	 	 	reversed	1.7	1835	197389	REVERSED.	4	4	1.000	4	4	4.000	4	175404.41503899998	250828.695312	204349.923828	369027.021483	304185.853516	373421.546874	251231.328125	389447.613282	329344.337891	353619.529296	12324.585449
141	1	REV_Q6DN14	 	 	 	reversed	3.7	999	111623	REVERSED.	2	2	1.000	2	2	2.000	2	75895.757812	64869.597657000006	66413.839843	68666.404297	81170.441406	64967.265625	66670.654297	80896.826172	70114.29882899999	79534.494141	3406.562988
142	1	REV_Q6F5E8	 	 	 	reversed	0.6	1435	154687	REVERSED.	3	3	1.000	3	3	3.000	3	129693.857421	99758.507812	119578.857422	154575.580079	149226.679687	180080.638672	146911.599609	229511.640625	251577.986328	226708.521484	3968.994385
143	1	REV_Q6P2D8	 	 	 	reversed	2.9	792	89863	REVERSED.	2	2	1.000	2	2	2.000	2	108505.710938	86894.244141	78282.742187	142634.558594	104601.716797	129544.619141	95096.47460899998	165397.894531	156338.916016	186497.068359	9210.588867
144	1	REV_Q6Q4G3	 	 	 	reversed	2.7	990	113281	REVERSED.	2	2	1.000	2	2	2.000	2	18875.802734	16363.474609	24802.828125	21054.548828	30350.101562	21342.621094	17923.443359	26492.494141	14959.646484	24347.253906	500.0
145	1	REV_Q6UXG2	 	 	 	reversed	1.4	1013	111380	REVERSED.	3	3	1.000	3	3	3.000	3	412422.802734	393024.768554	225776.458008	788780.634765	442356.48242200003	766637.052734	564646.100586	851307.485351	1208124.786133	1046092.891602	3613.490723
146	1	REV_Q6W2J9	 	 	 	reversed	1.4	1755	192186	REVERSED.	2	2	1.000	2	2	2.000	2	115249.14062600001	188163.101563	171887.640625	203209.34375	185154.128906	199554.238281	174173.691406	89992.1875	119423.339843	94949.90234399999	500.0
147	1	REV_Q6WRI0	 	 	 	reversed	1.4	2623	290835	REVERSED.	3	3	1.000	3	3	3.000	3	91670.345704	91908.442627	113329.383301	109358.382324	115517.652832	111861.458984	112419.35790999999	81967.52246100002	100788.613281	94390.249023	500.0
148	1	REV_Q6ZTR5	 	 	 	reversed	1.8	3187	361621	REVERSED.	5	5	1.000	5	5	5.000	5	151369.597413	146902.204833	160548.465211	177444.13037199999	203457.28418000002	199529.535155	174990.10400300001	194238.02831999998	246662.659424	236974.016357	6052.4418940000005
149	1	REV_Q6ZVF9	 	 	 	reversed	2.4	776	82438	REVERSED.	4	4	1.000	4	4	4.000	4	309294.435059	266985.381835	277962.814209	313570.699219	295863.575195	306199.270996	283803.552246	252382.16345300002	297913.61523399997	254389.76074199998	1800.7436519999999
150	1	REV_Q709C8	 	 	REV_Q709C8, sp|Q9Y383|LC7L2_HUMAN	reversed	0.4	3753	422385	REVERSED.	5	1	0.200	5	1	1.069	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151	1	REV_Q7L014	 	 	 	reversed	3.4	1031	117361	REVERSED.	2	2	1.000	2	2	2.000	2	296122.132812	259321.96875	264093.757813	274083.25	269601.792969	325427.609375	292882.910156	222315.160156	232046.125	204901.824219	3345.85376
152	1	REV_Q7Z3J3	 	 	 	reversed	1.2	1758	197286	REVERSED.	2	2	1.000	2	2	2.000	2	88316.078125	111469.595703	84917.736328	125283.107422	106539.488281	140847.125	95206.949219	124224.48730500002	126579.02832100002	134968.92187500003	4115.481445
153	1	REV_Q7Z4S6	 	 	 	reversed	1.5	1674	187177	REVERSED.	2	2	1.000	2	2	2.000	2	285216.619141	296916.979492	286146.22070299997	367483.847656	375824.125	397998.724609	311813.515625	286740.332031	283204.007812	319067.078125	500.0
154	1	REV_Q7Z4W1	 	 	 	reversed	13.1	244	25913	REVERSED.	3	3	1.000	3	3	3.000	3	804801.1523440001	845669.9023440001	1000251.2070309999	1027932.9648440001	1179502.386719	1114763.578125	1063092.734375	757026.541016	998716.109375	881370.398438	21454.631103
155	1	REV_Q86Y56	 	 	 	reversed	3.0	855	93520	REVERSED.	3	3	1.000	3	3	3.000	3	195830.746095	180682.556641	232232.28711	363340.480469	302275.746094	352417.57226600003	292031.300781	482535.853516	589816.727539	571294.771484	40144.50885
156	1	REV_Q8IVF2	 	 	REV_Q8IVF2, sp|Q9NRL2|BAZ1A_HUMAN	reversed	2.7	5795	616622	REVERSED.	4	2	0.500	4	2	2.085	2	300038.019531	243364.359375	262242.410156	294987.648438	277976.863281	315358.40625	233062.90625	210800.839844	231989.265625	202354.476562	500.0
157	1	REV_Q8IWA4	 	 	 	reversed	5.4	741	84159	REVERSED.	2	2	1.000	2	2	2.000	2	286864.070313	220338.875	223869.703125	263385.78125	260970.414063	313294.96875	217384.539062	190512.85937500003	227724.367188	187656.30078200003	8604.65625
158	1	REV_Q8IWI9	 	 	REV_Q8IWI9, sp|Q96JB2|COG3_HUMAN	reversed	0.5	3065	336156	REVERSED.	3	2	0.667	3	2	2.044	2	380897.835938	374401.683594	390772.12304700003	405037.130859	463285.734375	430114.453125	420016.90625	351980.572266	320472.542969	316531.77929700003	1578.258667
159	1	REV_Q8IWJ2	 	 	 	reversed	1.0	1684	195907	REVERSED.	2	2	1.000	2	2	2.000	2	277470.875	225519.619141	284454.46875	317317.980469	338836.96875	312161.675781	264343.164062	218971.457031	223087.097656	222304.521484	1531.413818
160	1	REV_Q8IYM0	 	 	 	reversed	2.0	893	103720	REVERSED.	3	3	1.000	3	3	3.000	3	105726.205079	96114.617188	111587.197266	147530.380859	135220.429687	131126.761718	120385.679688	152217.308594	165999.148437	147813.035156	2956.924805
161	1	REV_Q8IZD9	 	 	 	reversed	1.6	2030	233101	REVERSED.	2	2	1.000	2	2	2.000	2	216876.226563	180789.640626	185553.773438	293192.492188	232361.539063	273545.507813	202132.429687	345508.929688	342601.726562	322228.546875	11267.82666
162	1	REV_Q8IZF0	 	 	 	reversed	2.2	1738	200329	REVERSED.	3	3	1.000	3	3	3.000	3	158399.509765	143681.542968	166459.130859	298765.242188	266425.039062	275190.91992200003	218602.835937	452880.046875	577404.0898440001	514027.808594	14258.284912
163	1	REV_Q8N4C6	 	 	 	reversed	1.2	2090	243246	REVERSED.	2	2	1.000	2	2	2.000	2	16352.6875	18063.613282	19863.041992	21784.107422	21160.642578	21979.274414	21997.805664	20541.359862999998	23327.113280999998	20993.211914	500.0
164	1	REV_Q8N998	 	 	REV_Q8N998, sp|P22523|MUKB_ECOLI	reversed	3.7	374	43808	REVERSED.	3	1	0.333	3	1	1.021	1	36462.027344	32164.664062	43727.847656	37192.140625	48532.113281	43457.460938	39186.453125	42194.488281	35319.351562	35808.800781	500.0
165	1	REV_Q8NCM8	 	 	 	reversed	0.5	4307	492616	REVERSED.	7	7	1.000	7	7	7.000	7	1857039.5351580002	1627904.6884750002	1977797.0283199998	1924729.4824230003	1928621.568359	2244948.461914	2006097.6289050002	2198429.439452	2207317.966798	2321735.601074	500.0
166	1	REV_Q8NCX0	 	 	 	reversed	1.6	1101	128759	REVERSED.	2	2	1.000	2	2	2.000	2	134184.21875	120076.386719	115401.011719	134027.757813	113996.361328	150963.207031	117661.365235	116415.54687399999	125947.087891	119005.443359	5437.917847000001
167	1	REV_Q8NE18	 	 	 	reversed	3.5	718	81039	REVERSED.	2	2	1.000	2	2	2.000	2	128689.570312	95664.992187	146707.964844	209534.089844	184004.16015700003	213501.257813	176357.75	299303.445312	330083.125	287335.117188	8741.84668
168	1	REV_Q8NF91	 	 	REV_Q8NF91, sp|Q99417|MYCBP_HUMAN	reversed	0.5	8797	1011074	REVERSED.	6	5	0.833	6	5	5.185	5	1187513.857422	1113576.5986330002	1314183.30957	1401590.0468739998	1307345.105469	1424048.951172	1215911.466797	1316613.416992	1276283.451171	1310820.5429679998	72451.82910100001
169	1	REV_Q8NFJ9	 	 	REV_Q8NFJ9, sp|P00568|KAD1_HUMAN, sp|P0A6D0|ARGR_ECOLI	reversed	2.4	593	65083	REVERSED.	9	0	0.000	9	0	0.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
170	1	REV_Q8TBZ0	 	 	 	reversed	2.2	833	96724	REVERSED.	2	2	1.000	2	2	2.000	2	343191.96875	273083.09375	287324.132813	276264.296875	326462.65625	358478.890625	334054.773438	290090.273437	332361.632812	259711.078125	4081.9335939999996
171	1	REV_Q8TCF1	 	 	REV_Q8TCF1, sp|Q9NQW7|XPP1_HUMAN	reversed	7.1	268	30787	REVERSED.	2	1	0.500	2	1	1.015	1	31922.699219	39140.222656	40348.441406	52406.351562	54847.601562	46169.523438	31146.029297000005	39678.894531	42761.089844	35151.160156	1589.368774
172	1	REV_Q8TDX9	 	 	 	reversed	0.6	2849	315431	REVERSED.	3	3	1.000	3	3	3.000	3	4870223.570312	4803740.003906	4353922.621092999	4600739.402343	4881714.107422	4555321.273438	3867002.84082	3114184.680664	2541818.388672	3210670.791993	500.0
173	1	REV_Q8TF21	 	 	REV_Q8TF21, sp|P30622|CLIP1_HUMAN	reversed	2.6	1146	124185	REVERSED.	2	1	0.500	2	1	1.012	1	254764.921875	233834.484375	216910.984375	224332.109375	202651.84375	250005.078125	175715.328125	152050.3125	150673.65625	153600.234375	8600.519531
174	1	REV_Q8WX94	 	 	REV_Q8WX94, sp|Q02880|TOP2B_HUMAN	reversed	3.9	980	111806	REVERSED.	5	2	0.400	5	2	2.028	2	67697.521484	56127.117675999994	68020.805664	59526.384766	67298.206055	67149.638672	66285.009766	70177.451172	72620.212891	81616.632813	1087.162231
175	1	REV_Q8WXH0	 	 	REV_Q8WXH0, sp|Q92878|RAD50_HUMAN	reversed	0.5	6885	796433	REVERSED.	9	4	0.444	9	4	4.177	4	764374.975586	1704512.342773	1036104.824218	1636404.422851	1483506.810547	1370923.439453	1158147.01709	1028473.965821	804586.950196	761974.969727	26182.136719
176	1	REV_Q8WXK1	 	 	REV_Q8WXK1, sp|P0A812|RUVB_ECOLI	reversed	5.8	588	65798	REVERSED.	3	1	0.333	3	1	1.095	1	17339.181641	15373.743163999998	20735.982422	21790.212891	24825.410156	20639.822266	18662.958984	20672.998047	24416.544922	22249.695312	500.0
177	1	REV_Q8WZ42	 	 	 	reversed	0.2	34350	3815984	REVERSED.	6	6	1.000	6	6	6.000	6	1046851.5117190001	792653.9052739999	593002.7490230001	1160309.797851	668118.8339849999	927823.720703	822309.424805	600698.88086	764676.566407	672072.3398440001	6147.518433
178	1	REV_Q92614	 	 	 	reversed	0.9	2054	233112	REVERSED.	3	3	1.000	3	3	3.000	3	862911.992188	625346.304688	785371.414063	1034071.507813	1032143.828125	1067927.25	897163.484375	1500925.175781	1683002.0078130001	1612706.636719	11826.09375
179	1	REV_Q92698	 	 	 	reversed	2.5	747	84351	REVERSED.	2	2	1.000	2	2	2.000	2	56926.601563000004	61657.490234	55849.240235000005	67270.328125	60660.87304600001	63878.970704	56550.31445399999	46745.523438	42528.390625	48618.515625	500.0
180	1	REV_Q96DT5	 	 	 	reversed	0.6	4516	520363	REVERSED.	2	2	1.000	2	2	2.000	2	90248.0	104281.029297	113819.95312399999	101937.632813	125470.507813	121783.009765	88181.62304699999	92580.402343	116833.232421	121523.089843	8026.466065
181	1	REV_Q96G28	 	 	REV_Q96G28, sp|P28903|NRDD_ECOLI	reversed	4.1	342	39446	REVERSED.	2	1	0.500	2	1	1.071	1	41678.617188	30841.716797000005	31632.8125	42037.679688	39430.699219	37792.484375	26206.761719	27436.761719	29585.361327999995	25778.814453	1681.199585
182	1	REV_Q96HW7	 	 	 	reversed	2.4	963	108170	REVERSED.	2	2	1.000	2	2	2.000	2	244152.173828	243015.316406	228620.265625	314310.757813	209577.738281	378022.144531	242463.695313	303427.925781	312422.585938	1560184.480469	500.0
183	1	REV_Q96IR2	 	 	 	reversed	2.7	970	113132	REVERSED.	2	2	1.000	2	2	2.000	2	226487.290405	200971.746582	175041.357178	226069.065674	248276.645264	241634.321777	259171.35083	232896.441406	246152.525146	181414.069336	6567.862793
184	1	REV_Q96JB2	 	 	REV_Q96JB2, sp|Q8IWI9|MGAP_HUMAN, sp|Q9Y2Q0|AT8A1_HUMAN	reversed	3.0	828	94095	REVERSED.	3	2	0.667	3	2	2.074	2	218120.207031	165196.4375	197061.951172	342646.730469	220813.199219	324141.681641	252117.861328	423769.521484	557754.054688	568110.445312	20457.088134999998
